OrderID,OrderDate,ShipDate,ShipMode,CustomerName,Segment,City,State,Region,Category,ProductName,Sales,Quantity,Discount,Profit,OrderYear,OrderMonth,OrderDayOfWeek,ShippingDays,ProfitMargin
ORD-10000,2021-03-21 08:43:46,2021-03-31 08:43:46,Express,Pamela Lee,Consumer,Brianton,NE,West,Furniture,Desk,1520.0,4,0.05,365.1632555896302,2021,3,Sunday,10,24.023898394038813
ORD-10001,2021-11-26 19:01:29,2021-11-28 19:01:29,Standard,Lisa Ryan,Home Office,South Kathyburgh,NE,East,Office Supplies,Printer Ink,76.5,2,0.15,5.739454721115648,2021,11,Friday,2,7.5025551909027755
ORD-10002,2023-08-09 05:40:17,2023-08-14 05:40:17,Express,Kristin Cole,Consumer,Davidfort,FL,East,Office Supplies,Pens,13.5,3,0.1,1.2214796684878528,2023,8,Wednesday,5,9.047997543684243
ORD-10003,2023-08-23 22:31:18,2023-08-29 22:31:18,Next-Day,Janet Larson MD,Home Office,New Kayla,NE,South,Office Supplies,Notebook,36.0,4,0.1,3.962906647041557,2023,8,Wednesday,6,11.008074019254103
ORD-10004,2021-04-03 20:54:01,2021-04-05 20:54:01,Next-Day,Michael Nelson,Consumer,South Johnfort,IN,North,Office Supplies,Printer Ink,76.5,2,0.15,19.223898206332816,2021,4,Saturday,2,25.12927870076016
ORD-10005,2023-02-23 08:20:19,2023-03-05 08:20:19,Next-Day,Jennifer Miller,Corporate,West Christopherport,MD,North,Furniture,Chair,450.0,2,0.1,44.60458148329882,2023,2,Thursday,10,9.912129218488824
ORD-10006,2021-02-27 05:02:59,2021-02-28 05:02:59,Standard,Jesse Burch,Consumer,North Andrew,MH,North,Furniture,Sofa,2800.0,4,0.0,641.54846064035,2021,2,Saturday,1,22.91244502286146
ORD-10007,2021-09-06 12:53:19,2021-09-12 12:53:19,Express,Bruce Burns,Corporate,East John,RI,West,Clothing,Jeans,180.0,3,0.2,40.57112356569316,2021,9,Monday,6,22.539513091926537
ORD-10008,2022-07-28 16:49:29,2022-08-02 16:49:29,Next-Day,Daniel Nguyen,Home Office,Moorebury,WV,East,Electronics,Headphones,255.0,2,0.15,29.853019636751995,2022,7,Thursday,5,11.707066524170559
ORD-10009,2023-08-16 04:54:02,2023-08-24 04:54:02,Standard,Emily Brooks,Corporate,West Samanthaside,KY,South,Furniture,Desk,320.0,1,0.2,35.90963256341339,2023,8,Wednesday,8,11.221760176031617
ORD-10010,2022-01-13 17:18:23,2022-01-21 17:18:23,Next-Day,Amber Nguyen,Home Office,Lake Stacyland,IA,South,Furniture,Bookshelf,855.0,5,0.05,172.7312700294891,2022,1,Thursday,8,20.202487722723635
ORD-10011,2023-05-10 00:12:22,2023-05-14 00:12:22,Standard,Jennifer Burns,Consumer,Jeffberg,MS,North,Electronics,Headphones,510.0,4,0.15,112.87220724970074,2023,5,Wednesday,4,22.13180534303518
ORD-10012,2023-09-23 22:15:55,2023-10-02 22:15:55,Standard,Linda Bell,Consumer,East Lukeshire,PW,West,Clothing,T-Shirt,100.0,5,0.2,10.08189850376757,2023,9,Saturday,9,10.081898503666752
ORD-10013,2022-07-19 19:36:50,2022-07-21 19:36:50,Standard,Chad Patterson,Corporate,North Jacquelineside,VA,South,Clothing,Shoes,72.0,1,0.2,19.23541423284824,2022,7,Tuesday,2,26.715853100807053
ORD-10014,2023-10-29 03:39:43,2023-11-07 03:39:43,Next-Day,Brett Orr,Consumer,Michaelside,CO,West,Furniture,Chair,400.0,2,0.2,100.44429573048606,2023,10,Sunday,9,25.111073932558735
