OrderID,OrderDate,ShipDate,ShipMode,CustomerName,Segment,City,State,Region,Category,ProductName,Sales,Quantity,Discount,Profit
ORD-10000,2021-03-21 08:43:46,2021-03-31 08:43:46,Express,Pamela Lee,Consumer,Brianton,NE,West,Furniture,Desk,1520.0,4,0.05,365.1632555896302
ORD-10001,2021-11-26 19:01:29,2021-11-28 19:01:29,Standard,Lisa Ryan,Home Office,South Kathyburgh,NE,East,Office Supplies,Printer Ink,76.5,2,0.15,5.7394547211156475
ORD-10002,2023-08-09 05:40:17,2023-08-14 05:40:17,Express,Kristin Cole,Consumer,Davidfort,FL,East,Office Supplies,Pens,13.5,3,0.1,1.2214796684878528
ORD-10003,2023-08-23 22:31:18,2023-08-29 22:31:18,Next-Day,Janet Larson MD,Home Office,New Kayla,NE,South,Office Supplies,Notebook,36.0,4,0.1,3.962906647041557
ORD-10004,2021-04-03 20:54:01,2021-04-05 20:54:01,Next-Day,Michael Nelson,Consumer,South Johnfort,IN,North,Office Supplies,Printer Ink,76.5,2,0.15,19.223898206332816
ORD-10005,2023-02-23 08:20:19,2023-03-05 08:20:19,Next-Day,Jennifer Miller,Corporate,West Christopherport,MD,North,Furniture,Chair,450.0,2,0.1,44.60458148329882
ORD-10006,2021-02-27 05:02:59,2021-02-28 05:02:59,Standard,Jesse Burch,Consumer,North Andrew,MH,North,Furniture,Sofa,2800.0,4,0.0,641.54846064035
ORD-10007,2021-09-06 12:53:19,2021-09-12 12:53:19,Express,Bruce Burns,Corporate,East John,RI,West,Clothing,Jeans,180.0,3,0.2,40.571123565693156
ORD-10008,2022-07-28 16:49:29,2022-08-02 16:49:29,Next-Day,Daniel Nguyen,Home Office,Moorebury,WV,East,Electronics,Headphones,255.0,2,0.15,29.853019636751995
ORD-10009,2023-08-16 04:54:02,2023-08-24 04:54:02,Standard,Emily Brooks,Corporate,West Samanthaside,KY,South,Furniture,Desk,320.0,1,0.2,35.90963256341339
ORD-10010,2022-01-13 17:18:23,2022-01-21 17:18:23,Next-Day,Amber Nguyen,Home Office,Lake Stacyland,IA,South,Furniture,Bookshelf,855.0,5,0.05,172.7312700294891
ORD-10011,2023-05-10 00:12:22,2023-05-14 00:12:22,Standard,Jennifer Burns,Consumer,Jeffberg,MS,North,Electronics,Headphones,510.0,4,0.15,112.87220724970074
ORD-10012,2023-09-23 22:15:55,2023-10-02 22:15:55,Standard,Linda Bell,Consumer,East Lukeshire,PW,West,Clothing,T-Shirt,100.0,5,0.2,10.08189850376757
ORD-10013,2022-07-19 19:36:50,2022-07-21 19:36:50,Standard,Chad Patterson,Corporate,North Jacquelineside,VA,South,Clothing,Shoes,72.0,1,0.2,19.235414232848242
ORD-10014,2023-10-29 03:39:43,2023-11-07 03:39:43,Next-Day,Brett Orr,Consumer,Michaelside,CO,West,Furniture,Chair,400.0,2,0.2,100.44429573048606
ORD-10015,2023-03-22 21:11:55,2023-03-25 21:11:55,Express,Elizabeth Flores,Consumer,New Shelby,ME,East,Furniture,Sofa,2240.0,4,0.2,540.9048941855262
ORD-10016,2022-12-07 03:14:53,2022-12-14 03:14:53,Standard,Justin Simmons,Consumer,Port Christianstad,NV,South,Electronics,Laptop,4800.0,5,0.2,1342.7685258165732
ORD-10017,2021-05-09 14:17:38,2021-05-15 14:17:38,Express,Xavier Hill,Home Office,Collinsburgh,MH,North,Clothing,T-Shirt,118.75,5,0.05,12.508019216639243
ORD-10018,2023-12-21 02:07:38,2023-12-24 02:07:38,Standard,Rachel Carr,Consumer,Barrettmouth,MH,West,Clothing,Jeans,180.0,3,0.2,14.458819053927332
ORD-10019,2022-06-10 00:53:15,2022-06-18 00:53:15,Next-Day,Anthony Jones,Consumer,East Franciscoland,VT,East,Electronics,Smartphone,2160.0,3,0.1,484.07793760553005
ORD-10020,2021-11-17 12:46:35,2021-11-25 12:46:35,Express,Lauren Miranda,Consumer,Emilyville,NY,North,Furniture,Chair,1187.5,5,0.05,242.72549912709195
ORD-10021,2022-01-23 23:47:32,2022-01-27 23:47:32,Standard,Beth Harvey,Home Office,Williamberg,NH,North,Furniture,Bookshelf,513.0,3,0.05,124.29004662974359
ORD-10022,2022-05-10 16:49:11,2022-05-18 16:49:11,Standard,Leslie Martin,Corporate,Munozmouth,MA,South,Electronics,Headphones,570.0,4,0.05,43.369748067952486
ORD-10023,2022-02-09 01:28:25,2022-02-15 01:28:25,Express,Lauren Richardson,Consumer,North William,OK,North,Electronics,Tablet,1530.0,4,0.15,344.41207825974703
ORD-10024,2022-04-12 03:19:28,2022-04-14 03:19:28,Standard,Lauren Dorsey,Consumer,South Laurachester,NC,North,Furniture,Bookshelf,720.0,4,0.0,104.71473032444011
ORD-10025,2023-02-19 18:43:32,2023-02-22 18:43:32,Standard,Diane Jackson,Corporate,East Alexandra,DE,North,Clothing,Jacket,114.0,1,0.05,20.818309050991633
ORD-10026,2022-03-16 03:52:02,2022-03-19 03:52:02,Express,Thomas Thomas,Corporate,Matthewtown,ME,North,Furniture,Sofa,630.0,1,0.1,100.67409216242211
ORD-10027,2023-08-02 18:13:02,2023-08-12 18:13:02,Next-Day,Angela Watson,Consumer,Banksmouth,OH,South,Clothing,Jacket,510.0,5,0.15,109.74826898482885
ORD-10028,2022-03-13 19:02:05,2022-03-23 19:02:05,Next-Day,Erin Sanford,Corporate,Julieton,OK,North,Office Supplies,Stapler,67.5,5,0.1,16.188844054000494
ORD-10029,2023-10-06 14:35:45,2023-10-12 14:35:45,Next-Day,Anthony Burke,Consumer,Port Anthonyland,AZ,West,Clothing,T-Shirt,75.0,3,0.0,11.372347569674842
ORD-10030,2021-01-02 18:46:53,2021-01-04 18:46:53,Express,Tracy Lee,Corporate,Kimberlyfurt,TN,South,Furniture,Bookshelf,540.0,3,0.0,117.43078578524353
ORD-10031,2023-03-30 03:11:23,2023-03-31 03:11:23,Standard,Cynthia Watts,Home Office,Foxfurt,AR,East,Furniture,Sofa,1120.0,2,0.2,167.4671881009474
ORD-10032,2022-12-05 10:27:21,2022-12-13 10:27:21,Next-Day,Belinda Schmidt,Home Office,Smithstad,NE,North,Electronics,Laptop,960.0,1,0.2,89.33719183481247
ORD-10033,2023-05-03 15:52:51,2023-05-10 15:52:51,Next-Day,Cynthia Ross,Corporate,East Diamondmouth,KY,East,Furniture,Chair,500.0,2,0.0,118.25713091780449
ORD-10034,2023-07-21 03:36:13,2023-07-25 03:36:13,Standard,Joe Dixon,Home Office,Johntown,NJ,West,Clothing,Shoes,342.0,4,0.05,28.75093779198626
ORD-10035,2022-07-31 23:02:37,2022-08-06 23:02:37,Express,Lynn Johnson,Corporate,Port Ashley,FL,West,Furniture,Sofa,2380.0,4,0.15,513.6068255324063
ORD-10036,2022-03-19 19:29:05,2022-03-27 19:29:05,Next-Day,William Edwards,Corporate,Port Andrew,NM,East,Furniture,Desk,1440.0,4,0.1,428.49532113085195
ORD-10037,2021-09-08 04:39:39,2021-09-11 04:39:39,Express,Linda Knight,Home Office,Lake Kelly,IL,West,Electronics,Laptop,4800.0,4,0.0,796.5279339605504
ORD-10038,2022-02-26 17:06:51,2022-03-08 17:06:51,Standard,Amy Sanders,Consumer,East Melissaberg,UT,East,Clothing,Jeans,180.0,3,0.2,38.08829813352807
ORD-10039,2023-11-28 11:56:57,2023-12-04 11:56:57,Standard,Steven Love,Corporate,Lake Tammy,WI,North,Clothing,Shoes,382.5,5,0.15,56.17603625291463
ORD-10040,2023-12-03 08:09:32,2023-12-04 08:09:32,Next-Day,Brittany Tran,Home Office,Sherryland,KS,East,Clothing,Jacket,384.0,4,0.2,72.15970583352419
ORD-10041,2023-07-15 16:50:21,2023-07-25 16:50:21,Express,Gerald Oconnor,Corporate,Lake Noah,NM,North,Furniture,Desk,1080.0,3,0.1,217.11596869281937
ORD-10042,2023-05-30 20:40:09,2023-06-09 20:40:09,Express,Nicole Murphy,Home Office,Justintown,CO,East,Electronics,Tablet,450.0,1,0.0,100.64475238877465
